HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
IIZXIIIIZIXX	(-0.00842523430604003+0j)
IIIXIIIIIZYY	(0.00842523430604003+0j)
IIZXIIIIIZYY	(-0.00842523430604003+0j)
IIIXIIXYYIXX	(-0.0027250306991216254+0j)
IIZXIIXYYIXX	(0.0027250306991216254+0j)
IIIXIIXXYIXY	(0.0027250306991216254+0j)
IIZXIIXXYIXY	(-0.0027250306991216254+0j)
IIIXIIYIYIXX	(-3.86140032067632e-07+0j)
IIZXIIYIYIXX	(3.86140032067632e-07+0j)
IIIXIIXZYIXY	(3.86140032067632e-07+0j)
IIZXIIXZYIXY	(-3.86140032067632e-07+0j)
IXYYIIIIIIIZ	(0.001403342115741999+0j)
IYYXIIIIIIIZ	(-0.001403342115741999+0j)
IXYYIIIIIIZX	(0.006020362810229722+0j)
IYYXIIIIIIZX	(-0.006020362810229722+0j)
IXYYIIIIIIIX	(-0.006020362810229722+0j)
IYYXIIIIIIIX	(0.006020362810229722+0j)
IXYYIIIIIYYX	(0.00813041699603273+0j)
IYYXIIIIIYYX	(-0.00813041699603273+0j)
IXYYIIIIIXYY	(-0.00813041699603273+0j)
IYYXIIIIIXYY	(0.00813041699603273+0j)
IXYYIIIIZIXX	(-0.007126554803583122+0j)
IYYXIIIIZIXX	(0.007126554803583122+0j)
IXYYIIIIIZYY	(-0.007126554803583122+0j)
IYYXIIIIIZYY	(0.007126554803583122+0j)
IXYYIIXYYIXX	(0.0008225522585827018+0j)
IYYXIIXYYIXX	(-0.0008225522585827018+0j)
IXYYIIXXYIXY	(-0.0008225522585827018+0j)
IYYXIIXXYIXY	(0.0008225522585827018+0j)
IXYYIIYIYIXX	(-0.0012378425395380838+0j)
IYYXIIYIYIXX	(0.0012378425395380838+0j)
IXYYIIXZYIXY	(0.0012378425395380838+0j)
IYYXIIXZYIXY	(-0.0012378425395380838+0j)
IZYYIIIIIIIZ	(-8.165671423514858e-07+0j)
ZIXXIIIIIIIZ	(-8.165671423514858e-07+0j)
IZYYIIIIIIZX	(-1.7971968742165584e-06+0j)
ZIXXIIIIIIZX	(-1.7971968742165584e-06+0j)
IZYYIIIIIIIX	(1.7971968742165584e-06+0j)
ZIXXIIIIIIIX	(1.7971968742165584e-06+0j)
IZYYIIIIIYYX	(0.002794226825957373+0j)
ZIXXIIIIIYYX	(0.002794226825957373+0j)
IZYYIIIIIXYY	(-0.002794226825957373+0j)
ZIXXIIIIIXYY	(-0.002794226825957373+0j)
IZYYIIIIZIXX	(-1.0189388522227396e-06+0j)
ZIXXIIIIZIXX	(-1.0189388522227396e-06+0j)
IZYYIIIIIZYY	(-1.0189388522227396e-06+0j)
ZIXXIIIIIZYY	(-1.0189388522227396e-06+0j)
IZYYIIXYYIXX	(-0.0007102334761071388+0j)
ZIXXIIXYYIXX	(-0.0007102334761071388+0j)
IZYYIIXXYIXY	(0.0007102334761071388+0j)
ZIXXIIXXYIXY	(0.0007102334761071388+0j)
IZYYIIYIYIXX	(1.0999454008803342e-06+0j)
ZIXXIIYIYIXX	(1.0999454008803342e-06+0j)
IZYYIIXZYIXY	(-1.0999454008803342e-06+0j)
ZIXXIIXZYIXY	(-1.0999454008803342e-06+0j)
IIZZIIIIIIIZ	(0.12037934835271141+0j)
IIZZIIIIIIZX	(-0.006195320185944196+0j)
IIZZIIIIIIIX	(0.006195320185944196+0j)
IIZZIIIIIYYX	(0.008425277737604731+0j)
IIZZIIIIIXYY	(-0.008425277737604731+0j)
IIZZIIIIZIXX	(0.004326289389891974+0j)
IIZZIIIIIZYY	(0.004326289389891974+0j)
IIZZIIXYYIXX	(-0.0017387910058463316+0j)
IIZZIIXXYIXY	(0.0017387910058463316+0j)
IIZZIIYIYIXX	(-0.017014392595960305+0j)
IIZZIIXZYIXY	(0.017014392595960305+0j)
IXXIIIIIIIIZ	(0.020406780125744838+0j)
